Id,Label
732,pico
733,ruben
734,edad
735,adolescentes
736,estudios
737,recuperacion
738,recomendaciones
739,estratos
740,1
741,estrato
742,arrojar
743,sabado
744,corredores
745,alo
746,jardines
747,usaquen
748,historico
749,area
750,regional
751,telecomunicaciones
752,comunitaria
753,litros
754,linares
755,jornadas
756,llevar
757,comparsa
758,sexualidad
759,cuales
760,reduccion
761,reposicion
762,gruas
763,operador
764,tapado
765,liquidacion
766,disenos
767,partir
768,hurto
769,canecas
770,pais
771,apoyo
772,cuotas
773,solidos
774,corridas
775,corte
776,incendio
777,placa
778,'pico
779,clientes
780,hora
781,importante
782,flora
783,subsidios
784,contratacion
785,aves
786,tinguas
787,trimestre
788,concreto
789,automotores
790,crecer
791,septima
792,mesas
793,presidente
794,diciembre
795,tramo
796,cabecillas
797,rubiela
798,parra
799,brayan
800,septiembre
801,tiempo
802,prostitucion
803,relleno
804,intimidar
805,garibello
806,adopcion
807,biarticulado
808,bus
809,comedores
810,operadores
811,sendero
812,atentado
813,rinas
814,rumba
815,[
816,miguel
817,nadar
818,delincuencial
819,elementos
820,visitas
821,torca
822,hectareas
823,3
824,unidades
825,compra
826,indigenas
827,comunidades
828,armas
829,comedor
830,tintoreria
831,viajes
832,pasa
833,alimentos
834,panela
835,interseccion
836,dentro
837,capital
838,8
839,153
840,usted
841,cono
842,andenes
843,victimas
844,9
845,tribunal
846,comisaria
847,chiquitecas
848,propuesta
849,portales
850,dar
851,homicidios
852,ocupantes
853,corrupcion
854,dio
855,beneficiarios
856,bonos
857,refuerza
858,kennedy
859,laboral
860,ayuda
861,orientales
862,cuenten
863,flujos
864,encuentros
865,cruzada
866,propietarios
867,pequenos
868,viernes
869,direccion
870,lunes
871,madera
872,eru
873,bocarejo
874,tortuga
875,calidad
876,restaurantes
877,intereses
878,parada
879,invitamos
880,celebrar
881,recorrido
882,mayo
883,sellamiento
884,presentaron
885,animalesbog
886,artefacto
887,conos
888,99000
889,787000
890,humanos
891,recoleccion
892,sido
893,baron
894,inteligente
895,semaforizacion
896,aseo
897,contaminacion
898,falsos
899,multas
900,electrico
901,articulado
902,retamo
903,espinoso
904,delincuentes
905,coronel
906,marchas
907,lujo
908,mal
909,choques
910,simples
911,nogal
912,recuerde
913,16
914,rehabilitacion
915,titulos
916,capturas
917,liberacion
918,video
919,17
920,alias
921,hombre
922,inmueble
923,caminatas
924,rehabilitacionderedesinstalaciondetuberiasenobrasvialesynuevasviviendasalgunosbarrios
925,terrorista
926,vamos
927,terrorismo
928,comercial
929,cargue
930,descargue
931,factura
932,padres
933,refugio
934,podran
935,carnivoras
936,kilometros
937,incautaron
938,avaluos
939,evite
940,terminales
941,aspirantes
942,mujer
943,estupefacientes
944,martires
945,unidos
946,recaudo
947,cierre
948,control
949,domingo
950,transbordos
951,beneficio
952,editorial
953,postal
954,participacion
955,participar
956,oriental
957,semestre
958,hombres
959,captura
960,colmena
961,poder
962,vallas
963,cambio
964,climatico
965,7a
966,cortes
967,museo
968,muertes
969,labores
970,explosion
971,kilometroscarril
972,participantes
973,rojas
974,numero
975,imei
976,aerea
977,desfile
978,industrias
979,icanh
980,arqueologico
981,camion
982,parte
983,ramas
984,bono
985,ferias
986,propia
987,ley
988,pequenas
989,causas
990,maltrato
991,banos
992,filtros
993,condiciones
994,estrategias
995,caso
996,desmarginalizar
997,cicloparqueaderos
998,autopartes
999,15000
1000,13
1001,cabinas
1002,todas
1003,pasajeros
1004,trata
1005,castillo
1006,arcoiris
1007,interes
1008,requisitos
1009,predio
1010,denunciar
1011,comparendo
1012,renta
1013,comerciante
1014,automotor
1015,rit
1016,defensoria
1017,ideam
1018,temperaturas
1019,agosto
1020,regalos
1021,contara
1022,diferentes
1023,33
1024,espejo
1025,grandes
1026,publica
1027,barra
1028,impusieron
1029,motos
1030,deuda
1031,cupo
1032,valorizacion
1033,vacunaron
1034,responsable
1035,cajero
1036,papa
1037,misa
1038,cristobal
1039,mejor
1040,maria
1041,bonsai
1042,avances
1043,escuadron
1044,fiona
1045,asistir
1046,pruebas
1047,saber
1048,llave
1049,bis
1050,luis
1051,endeudamiento
1052,firma
1053,concesionarios
1054,universidades
1055,recibos
1056,descuento
1057,ciclistas
1058,escombros
1059,rafael
1060,--
1061,va
1062,nacion
1063,tuberias
1064,116
1065,limpiar
1066,magdalena
1067,moviles
1068,adultos
1069,pacto
1070,llegar
1071,permitira
1072,pive
1073,conflicto
1074,dib
1075,licitacion
1076,zonal
1077,restauracion
1078,motocicletas
1079,salidas
1080,nuevos
1081,pintura
1082,enrique
1083,polizas
1084,intermedia
1085,trabajar
1086,hinchas
1087,enrolamiento
1088,consumidor
1089,idpyba
1090,cupos
1091,hornos
1092,cuentan
1093,nqs
1094,viga
1095,concejo
1096,documento
1097,anexo
1098,frente
1099,promocion
1100,recursos
1101,olvide
1102,boyaca
1103,troncales
1104,183
1105,casas
1106,longitud
1107,evitar
1108,occidente
1109,transversal
1110,cultura
1111,infraestructura
1112,aledanas
1113,tullave
1114,beneficios
1115,comenzo
1116,vih
1117,ascensores
1118,vertical
1119,simur
1120,oficio
1121,cumplir
1122,ejercito
1123,realizaron
1124,resolucion
1125,semaforos
1126,importancia
1127,350
1128,piezas
1129,manana
1130,noviembre
1131,1200
1132,vision
1133,peatonalizacion
1134,cgr
1135,nocturna
1136,siguientes
1137,recorridos
1138,casco
1139,15
1140,hogar
1141,destaco
1142,culturales
1143,novenas
1144,comportamiento
1145,artistas
1146,quemados
1147,135
1148,horarios
1149,?
1150,63
1151,llamadas
1152,esp
1153,ase
1154,complejidad
1155,cda
